id	distance	n_neighbors	resolution	random_state	n_clusters
C156	correlation	5	0.05	2	10
C157	correlation	5	0.1	2	11
C158	correlation	5	0.2	2	14
C159	correlation	5	0.3	2	18
C160	correlation	5	0.5	2	23
C161	correlation	5	0.8	2	28
C162	correlation	5	1.0	2	34
C163	correlation	5	2.0	2	54
C164	correlation	5	5.0	2	105
C165	correlation	5	10.0	2	171
C166	correlation	15	0.01	0	2
C167	correlation	15	0.05	0	5
C168	correlation	15	0.1	0	5
C169	correlation	15	0.2	0	9
C170	correlation	15	0.3	0	9
C171	correlation	15	0.5	0	15
C172	correlation	15	0.8	0	18
C173	correlation	15	1.0	0	21
C174	correlation	15	2.0	0	34
C175	correlation	15	5.0	0	68
C176	correlation	15	10.0	0	120
C177	correlation	15	0.01	1	2
C178	correlation	15	0.05	1	5
C179	correlation	15	0.1	1	6
C180	correlation	15	0.2	1	9
C181	correlation	15	0.3	1	10
C182	correlation	15	0.5	1	14
C183	correlation	15	0.8	1	18
C184	correlation	15	1.0	1	22
C185	correlation	15	2.0	1	33
C186	correlation	15	5.0	1	71
C187	correlation	15	10.0	1	121
C188	correlation	15	0.01	2	2
C189	correlation	15	0.05	2	4
C190	correlation	15	0.1	2	5
C191	correlation	15	0.2	2	9
C192	correlation	15	0.3	2	10
C193	correlation	15	0.5	2	14
C194	correlation	15	0.8	2	19
C195	correlation	15	1.0	2	22
C196	correlation	15	2.0	2	35
C197	correlation	15	5.0	2	67
C198	correlation	15	10.0	2	120
C199	correlation	30	0.01	0	2
C200	correlation	30	0.05	0	4
C201	correlation	30	0.1	0	5
C202	correlation	30	0.2	0	8
C203	correlation	30	0.3	0	9
C204	correlation	30	0.5	0	13
C205	correlation	30	0.8	0	18
C206	correlation	30	1.0	0	19
C207	correlation	30	2.0	0	31
C208	correlation	30	5.0	0	61
C209	correlation	30	10.0	0	101
C210	correlation	30	0.01	1	2
C211	correlation	30	0.05	1	4
C212	correlation	30	0.1	1	6
C213	correlation	30	0.2	1	8
C214	correlation	30	0.3	1	9
C215	correlation	30	0.5	1	12
C216	correlation	30	0.8	1	18
C217	correlation	30	1.0	1	19
C218	correlation	30	2.0	1	28
C219	correlation	30	5.0	1	59
C220	correlation	30	10.0	1	107
C221	correlation	30	0.01	2	2
C222	correlation	30	0.05	2	5
C223	correlation	30	0.1	2	5
C224	correlation	30	0.2	2	8
C225	correlation	30	0.3	2	9
C226	correlation	30	0.5	2	12
C227	correlation	30	0.8	2	18
C228	correlation	30	1.0	2	18
C229	correlation	30	2.0	2	31
C230	correlation	30	5.0	2	60
C231	correlation	30	10.0	2	104
C232	correlation	50	0.01	0	2
C233	correlation	50	0.05	0	4
C234	correlation	50	0.1	0	6
C235	correlation	50	0.2	0	7
C236	correlation	50	0.3	0	9
C237	correlation	50	0.5	0	12
C238	correlation	50	0.8	0	16
C239	correlation	50	1.0	0	20
C240	correlation	50	2.0	0	26
C241	correlation	50	5.0	0	56
C242	correlation	50	10.0	0	94
C243	correlation	50	0.01	1	2
C244	correlation	50	0.05	1	5
C245	correlation	50	0.1	1	5
C246	correlation	50	0.2	1	8
C247	correlation	50	0.3	1	9
C248	correlation	50	0.5	1	12
C249	correlation	50	0.8	1	16
C250	correlation	50	1.0	1	19
C251	correlation	50	2.0	1	26
C252	correlation	50	5.0	1	56
C253	correlation	50	10.0	1	92
C254	correlation	50	0.01	2	2
C255	correlation	50	0.05	2	4
C256	correlation	50	0.1	2	5
C257	correlation	50	0.2	2	8
C258	correlation	50	0.3	2	9
C259	correlation	50	0.5	2	12
C260	correlation	50	0.8	2	16
C261	correlation	50	1.0	2	20
C262	correlation	50	2.0	2	26
C263	correlation	50	5.0	2	54
C264	correlation	50	10.0	2	95
C265	cosine	5	0.01	0	4
C266	cosine	5	0.05	0	7
C267	cosine	5	0.1	0	8
C268	cosine	5	0.2	0	13
C269	cosine	5	0.3	0	16
C270	cosine	5	0.5	0	21
C271	cosine	5	0.8	0	27
C272	cosine	5	1.0	0	32
C273	cosine	5	2.0	0	47
C274	cosine	5	5.0	0	102
C275	cosine	5	10.0	0	173
C276	cosine	5	0.01	1	5
C277	cosine	5	0.05	1	9
C278	cosine	5	0.1	1	11
C279	cosine	5	0.2	1	14
C280	cosine	5	0.3	1	20
C281	cosine	5	0.5	1	23
C282	cosine	5	0.8	1	25
C283	cosine	5	1.0	1	35
C284	cosine	5	2.0	1	54
C285	cosine	5	5.0	1	103
C286	cosine	5	10.0	1	174
C287	cosine	5	0.01	2	5
C288	cosine	5	0.05	2	8
C289	cosine	5	0.1	2	9
C290	cosine	5	0.2	2	12
C291	cosine	5	0.3	2	14
C292	cosine	5	0.5	2	23
C293	cosine	5	0.8	2	27
C294	cosine	5	1.0	2	33
C295	cosine	5	2.0	2	53
C296	cosine	5	5.0	2	101
C297	cosine	5	10.0	2	177
C298	cosine	15	0.01	0	2
C299	cosine	15	0.05	0	5
C300	cosine	15	0.1	0	5
C301	cosine	15	0.2	0	10
C302	cosine	15	0.3	0	9
C303	cosine	15	0.5	0	13
C304	cosine	15	0.8	0	19
C305	cosine	15	1.0	0	22
C306	cosine	15	2.0	0	35
C307	cosine	15	5.0	0	68
C308	cosine	15	10.0	0	120
C309	cosine	15	0.01	1	2
C310	cosine	15	0.05	1	6
C311	cosine	15	0.1	1	5
C312	cosine	15	0.2	1	9
C313	cosine	15	0.3	1	9
C314	cosine	15	0.5	1	14
C315	cosine	15	0.8	1	19
C316	cosine	15	1.0	1	22
C317	cosine	15	2.0	1	32
C318	cosine	15	5.0	1	69
C319	cosine	15	10.0	1	119
C320	cosine	15	0.01	2	2
C321	cosine	15	0.05	2	5
C322	cosine	15	0.1	2	5
C323	cosine	15	0.2	2	9
